Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
56,46.6496,90.0143,70.9699,-163.609,24.544,-41.879,-37.359,55.286,5.66,13.045,29.863,15.0,10.569,-33.706,-40.11,7.688,25.411,15.0,1.522,-18.398,8.087,-144.306,50.89,-118.581,57.527,-0.0,0.0,-0.0,-18.977,-106.23,-65.637,41.024,0.0,-31.462,0.0
57,47.642,91.6709,70.3589,-166.228,23.605,-40.364,-26.556,55.068,12.199,11.661,30.0,15.0,7.364,-35.678,-40.73,6.156,24.386,15.0,0.654,-15.377,6.409,-141.659,56.969,-130.625,41.822,-0.0,0.0,-0.0,-43.712,-92.765,-44.428,35.704,0.0,-28.128,0.0
58,48.4713,93.1606,69.7808,-169.131,22.797,-39.265,-17.315,53.72,17.576,10.58,29.628,15.0,3.37,-38.048,-40.93,5.191,21.211,15.0,-1.051,-11.977,4.038,-139.361,62.003,-124.483,45.887,-0.0,0.0,-0.0,-91.352,-70.856,-1.543,32.877,0.0,-25.312,0.0
59,49.1966,94.4884,69.3588,-172.471,22.072,-38.361,-9.803,51.614,21.067,9.792,29.58,15.0,-1.255,-40.537,-41.128,4.478,19.933,15.0,-2.092,-8.888,2.524,-138.02,65.515,-64.133,44.505,0.0,0.0,0.0,-114.995,-59.125,20.17,29.158,0.0,-23.277,0.0
60,49.9675,95.8032,69.169,-175.682,21.348,-37.274,-3.771,49.155,22.421,9.234,28.459,15.0,-6.504,-42.953,-41.429,4.068,15.585,15.0,-2.452,-5.894,1.897,-137.784,68.096,21.811,37.161,-0.0,0.0,0.0,-121.917,-54.738,43.853,18.702,0.0,-22.167,0.0
61,50.8274,97.1907,69.1658,-178.667,21.464,-35.764,1.353,46.707,22.721,8.907,27.756,15.0,-12.616,-45.194,-41.69,3.847,12.144,15.0,-1.583,-3.025,2.305,-139.163,68.215,89.311,38.926,-0.0,0.0,-0.0,-106.831,-59.399,20.787,23.241,0.0,-21.963,0.0
62,51.7127,98.5737,69.2972,178.395,21.905,-33.918,5.92,44.291,22.179,8.781,28.458,15.0,-19.653,-47.108,-41.505,3.849,8.538,15.0,-1.281,-0.128,2.546,-141.035,68.612,3.367,43.28,-0.0,0.0,-0.0,-108.628,-57.454,-6.986,39.152,0.0,-22.689,0.0
63,52.6202,99.9317,69.5475,175.481,22.401,-32.018,9.958,41.929,21.144,9.023,27.112,15.0,-27.518,-48.506,-39.928,3.986,7.988,15.0,-0.933,2.604,3.077,-143.515,67.06,-82.576,60.868,-0.0,0.0,-0.0,-112.502,-54.838,-61.068,68.783,0.0,-24.458,0.0
64,53.5785,101.2948,69.8805,172.526,23.125,-30.189,13.509,39.734,20.348,9.196,30.0,15.0,-35.847,-49.331,-36.711,4.254,10.543,15.0,-1.033,5.112,4.139,-147.243,66.191,-3.196,67.417,-0.0,0.0,-0.0,-115.234,-52.632,-93.386,87.802,0.0,-27.383,0.0
65,54.5833,102.6735,70.2767,169.296,24.38,-28.888,16.416,37.969,20.409,9.739,23.89,15.0,-44.229,-49.287,-30.8,5.021,7.344,15.0,-1.4,7.56,5.423,-149.095,64.969,73.585,64.832,-0.0,0.0,-0.0,-116.457,-51.455,-103.588,95.81,0.0,-31.453,0.0
